,reference_identifier,ccy,rate_dt,mid
208990,DE0001135499,EUR,2021-09-15,102.171
209137,DE0001135499,EUR,2021-06-21,102.631
209374,DE0001135499,EUR,2021-09-16,102.152
209516,DE0001135499,EUR,2021-06-22,102.622
209802,DE0001135499,EUR,2021-06-23,102.626
209851,DE0001135499,EUR,2021-09-17,102.147
210235,DE0001135499,EUR,2021-09-20,102.149
210275,DE0001135499,EUR,2021-06-24,102.612
210619,DE0001135499,EUR,2021-09-21,102.143
210656,DE0001135499,EUR,2021-06-25,102.601
211003,DE0001135499,EUR,2021-09-22,102.128
211037,DE0001135499,EUR,2021-06-28,102.599
211387,DE0001135499,EUR,2021-09-23,102.106
211418,DE0001135499,EUR,2021-06-29,102.592
211771,DE0001135499,EUR,2021-09-24,102.098
211892,DE0001135499,EUR,2021-06-30,102.596
212155,DE0001135499,EUR,2021-09-27,102.084
212275,DE0001135499,EUR,2021-01-07,102.582
212539,DE0001135499,EUR,2021-09-28,102.079
212658,DE0001135499,EUR,2021-02-07,102.584
212831,DE0001135499,EUR,2021-09-29,102.064
213133,DE0001135499,EUR,2021-05-07,102.573
213216,DE0001135499,EUR,2021-09-30,102.043
213422,DE0001135499,EUR,2021-06-07,102.569
213695,DE0001135499,EUR,2021-01-10,102.04
213804,DE0001135499,EUR,2021-07-07,102.562
214081,DE0001135499,EUR,2021-04-10,102.034
214279,DE0001135499,EUR,2021-08-07,102.551
214475,DE0001135499,EUR,2021-09-07,102.523
214746,DE0001135499,EUR,2021-05-10,102.028
214857,DE0001135499,EUR,2021-12-07,102.513
215132,DE0001135499,EUR,2021-06-10,102.021
215239,DE0001135499,EUR,2021-07-13,102.522
215528,DE0001135499,EUR,2021-07-14,102.511
215611,DE0001135499,EUR,2021-07-10,102.008
215818,DE0001135499,EUR,2021-07-15,102.493
216090,DE0001135499,EUR,2021-08-10,102.0
216200,DE0001135499,EUR,2021-07-16,102.497
216489,DE0001135499,EUR,2021-07-19,102.491
216570,DE0001135499,EUR,2021-11-10,101.99
216871,DE0001135499,EUR,2021-07-20,102.507
216956,DE0001135499,EUR,2021-12-10,101.984
217346,DE0001135499,EUR,2021-07-21,102.5
217435,DE0001135499,EUR,2021-10-13,101.978
217728,DE0001135499,EUR,2021-07-22,102.489
217822,DE0001135499,EUR,2021-10-14,101.961
218116,DE0001135499,EUR,2021-10-15,101.95
218203,DE0001135499,EUR,2021-07-23,102.488
218492,DE0001135499,EUR,2021-07-26,102.492
218596,DE0001135499,EUR,2021-10-18,101.927
218781,DE0001135499,EUR,2021-07-27,102.493
219076,DE0001135499,EUR,2021-10-19,101.911
219256,DE0001135499,EUR,2021-07-28,102.495
219370,DE0001135499,EUR,2021-10-20,101.923
219638,DE0001135499,EUR,2021-07-29,102.485
219757,DE0001135499,EUR,2021-10-21,101.9
220020,DE0001135499,EUR,2021-07-30,102.477
220237,DE0001135499,EUR,2021-10-22,101.892
220402,DE0001135499,EUR,2021-02-08,102.468
220717,DE0001135499,EUR,2021-10-25,101.891
220784,DE0001135499,EUR,2021-03-08,102.463
221104,DE0001135499,EUR,2021-10-26,101.892
221166,DE0001135499,EUR,2021-04-08,102.459
221491,DE0001135499,EUR,2021-10-27,101.886
221548,DE0001135499,EUR,2021-05-08,102.447
221878,DE0001135499,EUR,2021-10-28,101.848
221930,DE0001135499,EUR,2021-06-08,102.431
222219,DE0001135499,EUR,2021-09-08,102.42
222358,DE0001135499,EUR,2021-10-29,101.829
222601,DE0001135499,EUR,2021-10-08,102.41
222838,DE0001135499,EUR,2021-01-11,101.834
222983,DE0001135499,EUR,2021-11-08,102.401
223272,DE0001135499,EUR,2021-12-08,102.376
223318,DE0001135499,EUR,2021-02-11,101.867
223561,DE0001135499,EUR,2021-08-13,102.366
223798,DE0001135499,EUR,2021-03-11,101.87
223943,DE0001135499,EUR,2021-08-16,102.362
224185,DE0001135499,EUR,2021-04-11,101.897
224418,DE0001135499,EUR,2021-08-17,102.356
224572,DE0001135499,EUR,2021-05-11,101.888
224800,DE0001135499,EUR,2021-08-18,102.356
224959,DE0001135499,EUR,2021-08-11,101.879
225182,DE0001135499,EUR,2021-08-19,102.34
225439,DE0001135499,EUR,2021-09-11,101.881
225564,DE0001135499,EUR,2021-08-20,102.337
225826,DE0001135499,EUR,2021-10-11,101.875
225946,DE0001135499,EUR,2021-08-23,102.328
226235,DE0001135499,EUR,2021-08-24,102.319
226306,DE0001135499,EUR,2021-11-11,101.853
226600,DE0001135499,EUR,2021-12-11,101.856
226710,DE0001135499,EUR,2021-08-25,102.308
226999,DE0001135499,EUR,2021-08-26,102.287
227080,DE0001135499,EUR,2021-11-15,101.847
227381,DE0001135499,EUR,2021-08-27,102.283
227467,DE0001135499,EUR,2021-11-16,101.859
227763,DE0001135499,EUR,2021-08-30,102.276
228040,DE0001135499,EUR,2021-11-17,101.849
