deal_no,deal_dt,settle_dt,mature_dt,name,ext_name,code,name,name,country,isin,buy_sell, face_value ,bond_price,capitalpph,incomepph,settlepph,coupon
3695436,9/2/2020,9/9/2020,8/15/2030,DE0001030708,DBR 0.00% 20-2030,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001030708    ,BUY  ," 10,000,000.00 ",104.717,104.717,0,104.717,0
3755068,10/9/2020,10/13/2020,8/15/2030,DE0001030708,DBR 0.00% 20-2030,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001030708    ,BUY  ," 15,000,000.00 ",105.677,105.677,0,105.677,0
3809408,11/12/2020,11/16/2020,8/15/2030,DE0001030708,DBR 0.00% 20-2030,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001030708    ,BUY  ," 20,000,000.00 ",105.43,105.43,0,105.43,0
3719705,9/18/2020,9/21/2020,8/15/2030,DE0001030708,DBR 0.00% 20-2030,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001030708    ,SELL ," 10,000,000.00 ",105.23,105.23,0,105.23,0
3746076,10/5/2020,10/7/2020,8/15/2030,DE0001030708,DBR 0.00% 20-2030,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001030708    ,SELL ," 15,000,000.00 ",105.457,105.457,0,105.457,0
3816897,11/17/2020,11/19/2020,8/15/2030,DE0001030708,DBR 0.00% 20-2030,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001030708    ,SELL ," 9,643,219.27 ",105.925,105.925,0,105.925,0
3818804,11/18/2020,11/20/2020,8/15/2030,DE0001030708,DBR 0.00% 20-2030,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001030708    ,SELL ," 356,780.73 ",105.941,105.941,0,105.941,0
3819098,11/18/2020,11/20/2020,8/15/2030,DE0001030708,DBR 0.00% 20-2030,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001030708    ,SELL ," 10,000,000.00 ",105.803,105.803,0,105.803,0
3856694,12/9/2020,12/11/2020,8/15/2030,DE0001030708,DBR 0.00% 20-2030,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001030708    ,SELL ," 5,000,000.00 ",106.26,106.26,0,106.26,0
3856702,12/9/2020,12/11/2020,8/15/2030,DE0001030708,DBR 0.00% 20-2030,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001030708    ,BUY  ," 5,000,000.00 ",106.185,106.185,0,106.185,0
4138532,5/21/2021,5/25/2021,8/15/2050,DE0001030724,DBR 0.00% 21-2050,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001030724    ,SELL ," 5,000,000.00 ",89.089,89.089,0,89.089,0
4121213,5/11/2021,5/18/2021,8/15/2050,DE0001030724,DBR 0.00% 21-2050,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001030724    ,BUY  ," 5,000,000.00 ",89.215,89.215,0,89.215,0
4388577,10/11/2021,10/13/2021,8/15/2031,DE0001030732,DBR 0.00% 21-2031,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001030732    ,SELL ," 10,000,000.00 ",101.816,101.816,0,101.816,0
4391152,10/12/2021,10/14/2021,8/15/2031,DE0001030732,DBR 0.00% 21-2031,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001030732    ,SELL ," 5,000,000.00 ",101.741,101.741,0,101.741,0
4339127,9/14/2021,9/16/2021,8/15/2031,DE0001030732,DBR 0.00% 21-2031,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001030732    ,SELL ," 15,000,000.00 ",103.714,103.714,0,103.714,0
4386150,10/8/2021,10/12/2021,8/15/2031,DE0001030732,DBR 0.00% 21-2031,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001030732    ,BUY  ," 15,000,000.00 ",102.09,102.09,0,102.09,0
4331584,9/9/2021,9/13/2021,8/15/2031,DE0001030732,DBR 0.00% 21-2031,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001030732    ,BUY  ," 15,000,000.00 ",103.796,103.796,0,103.796,0
3146474,8/27/2019,8/29/2019,8/15/2028,DE0001102457             ,DBR 0.25% 18-2028,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102457    ,SELL ," 35,000,000.00 ",109.2383,109.2383,0.009562842,109.2478628,0.25
3145080,8/26/2019,8/28/2019,8/15/2028,DE0001102457             ,DBR 0.25% 18-2028,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102457    ,BUY  ," 15,000,000.00 ",108.998,108.998,0.008879781,109.0068798,0.25
3141202,8/22/2019,8/26/2019,8/15/2028,DE0001102457             ,DBR 0.25% 18-2028,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102457    ,BUY  ," 20,000,000.00 ",108.65,108.65,0.007513661,108.6575137,0.25
3043678,6/3/2019,6/5/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,SELL ," 10,000,000.00 ",104.587,104.587,0.099315068,104.6863151,0.25
3063431,6/20/2019,6/24/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,SELL ," 20,000,000.00 ",105.46,105.46,0.112328767,105.5723288,0.25
2969782,3/27/2019,3/29/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,SELL ," 15,000,000.00 ",103.324,103.324,0.052739726,103.3767397,0.25
2988366,4/12/2019,4/16/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,SELL ," 15,000,000.00 ",102.662,102.662,0.065068493,102.7270685,0.25
2979081,4/4/2019,4/8/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,SELL ," 15,000,000.00 ",102.534,102.534,0.059589041,102.593589,0.25
2980870,4/5/2019,4/9/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,BUY  ," 15,000,000.00 ",102.309,102.309,0.060273973,102.369274,0.25
3186308,9/25/2019,9/27/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,BUY  ," 15,000,000.00 ",108.662,108.662,0.17739726,108.8393973,0.25
3198367,10/3/2019,10/7/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,SELL ," 15,000,000.00 ",108.33,108.33,0.184246575,108.5142466,0.25
3214345,10/16/2019,10/18/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,BUY  ," 15,000,000.00 ",106.652,106.652,0.191780822,106.8437808,0.25
3216231,10/17/2019,10/21/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,SELL ," 15,000,000.00 ",106.519,106.519,0.193835616,106.7128356,0.25
2968128,3/26/2019,3/28/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,BUY  ," 25,000,000.00 ",102.584,102.584,0.052054795,102.6360548,0.25
2969764,3/27/2019,3/29/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,SELL ," 10,000,000.00 ",103.252,103.252,0.052739726,103.3047397,0.25
2945524,3/5/2019,3/7/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,SELL ," 20,000,000.00 ",100.7268,100.7268,0.037671233,100.7644712,0.25
2914899,2/6/2019,2/8/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,SELL ," 15,000,000.00 ",100.919,100.919,0.019178082,100.9381781,0.25
2913519,2/5/2019,2/7/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,BUY  ," 15,000,000.00 ",100.64,100.64,0.018493151,100.6584932,0.25
2893674,1/17/2019,1/21/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,BUY  ," 15,000,000.00 ",100.307,100.307,0.006849315,100.3138493,0.25
2979097,4/4/2019,4/8/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,SELL ," 10,000,000.00 ",102.6,102.6,0.059589041,102.659589,0.25
3048821,6/6/2019,6/10/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,BUY  ," 20,000,000.00 ",104.578,104.578,0.102739726,104.6807397,0.25
3105986,7/25/2019,7/29/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,SELL ," 15,000,000.00 ",106.972,106.972,0.13630137,107.1083014,0.25
3107531,7/26/2019,7/29/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,BUY  ," 15,000,000.00 ",106.433,106.433,0.13630137,106.5693014,0.25
2974433,4/1/2019,4/3/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,BUY  ," 20,000,000.00 ",102.918,102.918,0.056164384,102.9741644,0.25
2975969,4/2/2019,4/4/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,BUY  ," 15,000,000.00 ",102.836,102.836,0.056849315,102.8928493,0.25
2976152,4/2/2019,4/4/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,SELL ," 10,000,000.00 ",102.91,102.91,0.056849315,102.9668493,0.25
3023293,5/16/2019,5/20/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,SELL ," 10,000,000.00 ",103.415,103.415,0.088356164,103.5033562,0.25
3024670,5/17/2019,5/20/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,BUY  ," 10,000,000.00 ",103.576,103.576,0.088356164,103.6643562,0.25
3030620,5/23/2019,5/27/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,BUY  ," 10,000,000.00 ",103.363,103.363,0.093150685,103.4561507,0.25
2896643,1/22/2019,1/24/2019,2/15/2029,DE0001102465,"DBR 0,25% 19-2029",RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102465    ,SELL ," 15,000,000.00 ",100.129,100.129,0.00890411,100.1379041,0.25
