#NAME?,,,DECPIZ1Y=ICAP,DECPIZ2Y=ICAP,DECPIZ3Y=ICAP,DECPIZ4Y=ICAP,DECPIZ5Y=ICAP,DECPIZ6Y=ICAP,DECPIZ7Y=ICAP,DECPIZ8Y=ICAP,DECPIZ9Y=ICAP,DECPIZ10Y=ICAP,DECPIZ12Y=ICAP,DECPIZ15Y=ICAP,DECPIZ20Y=ICAP,DECPIZ25Y=ICAP,DECPIZ30Y=ICAP,,,,,,,,,,,,,,
,,Timestamp,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,Mid Price Close,,,,,,,,,,,,,,
DECPIZ30Y=ICAP,,12/3/2021,2.44625,2.2075,2.17375,2.175,2.1675,2.1675,2.1775,2.1875,2.19625,2.2175,2.24625,2.30625,2.3375,2.3375,2.2575,,,,,,,,,,,,,,
,,12/2/2021,2.395,2.17875,2.14375,2.145,2.13875,2.13875,2.14875,2.1575,2.1675,2.18875,2.22625,2.28875,2.3225,2.3225,2.24375,,,,,,,,,,,,,,
,,12/1/2021,2.41375,2.2025,2.175,2.16375,2.16,2.1625,2.16625,2.17375,2.1825,2.2025,2.23875,2.29875,2.325,2.3225,2.2425,,,,,,,,,,,,,,
,,11/30/2021,2.3925,2.19125,2.1775,2.1575,2.155,2.15625,2.155,2.16125,2.1725,2.185,2.22,2.28,2.30625,2.30375,2.225,,,,,,,,,,,,,,
,,11/29/2021,2.33375,2.1575,2.1525,2.14,2.14625,2.14625,2.145,2.15125,2.1625,2.175,2.2075,2.26875,2.295,2.29,2.20875,,,,,,,,,,,,,,
,,11/26/2021,2.21375,2.0675,2.07625,2.0725,2.08375,2.085,2.08625,2.095,2.1075,2.12,2.155,2.2175,2.245,2.2475,2.17375,,,,,,,,,,,,,,
,,11/25/2021,2.415,2.21375,2.21125,2.20625,2.1975,2.1925,2.185,2.18625,2.19375,2.20375,2.235,2.29375,2.3125,2.31,2.22875,,,,,,,,,,,,,,
,,11/24/2021,2.37375,2.1725,2.17125,2.16625,2.1575,2.1525,2.14625,2.14875,2.15625,2.16625,2.20375,2.26,2.28,2.27875,2.19875,,,,,,,,,,,,,,
,,11/23/2021,2.39875,2.1925,2.1775,2.175,2.16875,2.165,2.16125,2.1675,2.175,2.185,2.22125,2.27625,2.29625,2.295,2.21375,,,,,,,,,,,,,,
,,11/22/2021,2.3625,2.1725,2.16875,2.175,2.1725,2.1675,2.17,2.17875,2.1875,2.19875,2.2325,2.28875,2.31,2.31,2.22875,,,,,,,,,,,,,,
,,11/19/2021,2.40375,2.20125,2.19875,2.2075,2.21375,2.2075,2.2075,2.215,2.22375,2.2325,2.2675,2.32375,2.34375,2.3425,2.25875,,,,,,,,,,,,,,
,,11/18/2021,2.47875,2.2775,2.2725,2.2775,2.28,2.27125,2.2675,2.27,2.2775,2.285,2.31375,2.36625,2.38375,2.37875,2.2925,,,,,,,,,,,,,,
,,11/17/2021,2.51,2.31125,2.30875,2.31625,2.32125,2.315,2.3125,2.31625,2.325,2.3325,2.36375,2.415,2.4325,2.42625,2.33875,,,,,,,,,,,,,,
,,11/16/2021,2.515,2.31375,2.31,2.31625,2.32125,2.31625,2.31375,2.31875,2.3275,2.335,2.365,2.41625,2.43125,2.42625,2.33875,,,,,,,,,,,,,,
,,11/15/2021,2.45625,2.26,2.26,2.27,2.27625,2.27375,2.275,2.2825,2.29375,2.3025,2.3325,2.38375,2.405,2.39875,2.31125,,,,,,,,,,,,,,
,,11/12/2021,2.44375,2.245,2.2475,2.26,2.2675,2.265,2.265,2.2725,2.285,2.2925,2.3225,2.37375,2.3925,2.3825,2.29625,,,,,,,,,,,,,,
,,11/11/2021,2.45875,2.2525,2.25625,2.27,2.27875,2.27625,2.27625,2.28375,2.2975,2.305,2.335,2.385,2.4075,2.39875,2.31375,,,,,,,,,,,,,,
,,11/10/2021,2.4525,2.24,2.2425,2.2525,2.2575,2.2575,2.25875,2.26875,2.2825,2.29,2.3225,2.375,2.4025,2.3975,2.315,,,,,,,,,,,,,,
,,11/9/2021,2.44,2.2275,2.22125,2.22375,2.22125,2.22125,2.225,2.235,2.25125,2.265,2.3025,2.36125,2.39,2.38625,2.305,,,,,,,,,,,,,,
,,11/8/2021,2.4575,2.245,2.23875,2.24125,2.23875,2.23875,2.2425,2.25125,2.26875,2.285,2.3225,2.3825,2.4125,2.41,2.32875,,,,,,,,,,,,,,
,,11/5/2021,2.39125,2.18,2.175,2.17625,2.17125,2.17125,2.17625,2.1875,2.20375,2.22,2.25875,2.3225,2.35625,2.35625,2.27375,,,,,,,,,,,,,,
,,11/4/2021,2.32875,2.1475,2.14125,2.1425,2.13625,2.13875,2.145,2.1575,2.175,2.1925,2.23625,2.29875,2.3325,2.33375,2.25125,,,,,,,,,,,,,,
,,11/3/2021,2.29375,2.13625,2.11375,2.12,2.10625,2.1075,2.11375,2.12625,2.1425,2.16,2.20375,2.265,2.29875,2.3025,2.2225,,,,,,,,,,,,,,
,,11/2/2021,2.3225,2.16875,2.14625,2.15125,2.14375,2.145,2.15125,2.16375,2.18,2.1975,2.24,2.30125,2.33125,2.33625,2.2575,,,,,,,,,,,,,,
,,11/1/2021,2.36875,2.215,2.1925,2.1975,2.18875,2.1875,2.1925,2.20375,2.21875,2.235,2.2775,2.34,2.36875,2.37375,2.295,,,,,,,,,,,,,,
,,10/29/2021,2.38875,2.2125,2.19125,2.20375,2.1925,2.19,2.1975,2.20875,2.225,2.24375,2.2875,2.35375,2.38625,2.3925,2.315,,,,,,,,,,,,,,
,,10/28/2021,2.43625,2.265,2.275,2.2825,2.28,2.28,2.2875,2.3,2.3175,2.33625,2.37375,2.44125,2.47375,2.47625,2.3975,,,,,,,,,,,,,,
,,10/27/2021,2.51125,2.3475,2.35125,2.3525,2.345,2.3425,2.35,2.3625,2.38,2.39625,2.43375,2.50125,2.53375,2.53625,2.4575,,,,,,,,,,,,,,
,,10/26/2021,2.56,2.39625,2.39125,2.385,2.37,2.36375,2.36625,2.37625,2.39,2.40375,2.43875,2.50375,2.5375,2.5375,2.4575,,,,,,,,,,,,,,
,,10/25/2021,2.51125,2.36375,2.3575,2.35,2.335,2.32625,2.325,2.3325,2.345,2.35625,2.39,2.455,2.49,2.49,2.41125,,,,,,,,,,,,,,
,,10/22/2021,2.48,2.3325,2.32875,2.3275,2.3175,2.30875,2.3075,2.315,2.3275,2.33875,2.36875,2.435,2.47125,2.47125,2.39125,,,,,,,,,,,,,,
,,10/21/2021,2.43125,2.28375,2.28,2.275,2.26625,2.2575,2.255,2.26125,2.2725,2.2825,2.31625,2.38,2.41125,2.415,2.33875,,,,,,,,,,,,,,
,,10/20/2021,2.41125,2.25875,2.24375,2.23375,2.21875,2.20875,2.205,2.21125,2.22125,2.23125,2.26375,2.325,2.35375,2.3525,2.27125,,,,,,,,,,,,,,
,,10/19/2021,2.39625,2.2575,2.2525,2.24625,2.23375,2.22375,2.22,2.225,2.23375,2.24375,2.275,2.335,2.365,2.36625,2.28625,,,,,,,,,,,,,,
,,10/18/2021,2.34625,2.24125,2.25,2.24625,2.235,2.2275,2.2275,2.23,2.2375,2.24625,2.275,2.3325,2.36,2.3575,2.2775,,,,,,,,,,,,,,
,,10/15/2021,2.30375,2.205,2.21875,2.215,2.20375,2.19375,2.19375,2.195,2.20125,2.20875,2.23875,2.2975,2.3225,2.32,2.24,,,,,,,,,,,,,,
,,10/14/2021,2.24125,2.16,2.175,2.1725,2.16,2.15125,2.1525,2.155,2.1625,2.17125,2.20375,2.265,2.2925,2.2925,2.215,,,,,,,,,,,,,,
,,10/13/2021,2.21875,2.165,2.16625,2.15625,2.14,2.13125,2.135,2.13875,2.1475,2.15625,2.19375,2.25875,2.2875,2.28875,2.21375,,,,,,,,,,,,,,
,,10/12/2021,2.21125,2.1725,2.1825,2.16875,2.155,2.1475,2.15125,2.1525,2.1625,2.17375,2.20875,2.27125,2.29875,2.3,2.225,,,,,,,,,,,,,,
,,10/11/2021,2.16625,2.16,2.1675,2.15125,2.13625,2.12875,2.13125,2.13125,2.14,2.15,2.18125,2.24,2.2625,2.26375,2.18875,,,,,,,,,,,,,,
,,10/8/2021,2.15125,2.1525,2.1525,2.1375,2.1225,2.115,2.11625,2.115,2.12625,2.13875,2.17125,2.23,2.2525,2.25375,2.17875,,,,,,,,,,,,,,
,,10/7/2021,2.095,2.12125,2.12875,2.12,2.1075,2.1025,2.1025,2.1025,2.11375,2.12625,2.15625,2.2175,2.2375,2.2375,2.16125,,,,,,,,,,,,,,
,,10/6/2021,2.09875,2.1475,2.15875,2.15375,2.1475,2.13875,2.135,2.1375,2.14375,2.15125,2.17875,2.23375,2.2525,2.25,2.17,,,,,,,,,,,,,,
,,10/5/2021,2.165,2.21875,2.23125,2.22,2.21,2.1975,2.19,2.18875,2.1925,2.19875,2.2225,2.2725,2.285,2.28,2.19875,,,,,,,,,,,,,,
,,10/4/2021,1.95625,2.055,2.1075,2.1125,2.1175,2.115,2.11375,2.11875,2.125,2.13375,2.165,2.22375,2.24375,2.2425,2.16375,,,,,,,,,,,,,,
,,10/1/2021,1.90375,2.0175,2.0675,2.06625,2.0725,2.075,2.08,2.08875,2.09625,2.11125,2.1475,2.20875,2.23125,2.23375,2.1575,,,,,,,,,,,,,,
,,9/30/2021,2.465,2.30125,2.2425,2.18625,2.15875,2.145,2.13625,2.1375,2.13875,2.14625,2.1725,2.22625,2.2425,2.23875,2.1575,,,,,,,,,,,,,,
,,9/29/2021,2.41,2.26375,2.205,2.16875,2.1475,2.1325,2.1225,2.12625,2.12375,2.13625,2.16125,2.2175,2.235,2.22875,2.145,,,,,,,,,,,,,,
,,9/28/2021,2.3825,2.2575,2.2075,2.18,2.16125,2.14875,2.14,2.14375,2.1425,2.15,2.17375,2.2275,2.24125,2.23,2.14125,,,,,,,,,,,,,,
,,9/27/2021,2.28625,2.18,2.14125,2.12375,2.1125,2.10125,2.10375,2.10625,2.11125,2.12375,2.15125,2.2075,2.2275,2.22125,2.1375,,,,,,,,,,,,,,
,,9/24/2021,2.21,2.11,2.075,2.06625,2.06125,2.05875,2.0575,2.06125,2.06625,2.0775,2.105,2.16375,2.18625,2.1825,2.1,,,,,,,,,,,,,,
,,9/23/2021,2.22,2.125,2.10875,2.09125,2.0825,2.08375,2.07625,2.07875,2.08375,2.09375,2.11875,2.17375,2.1975,2.19375,2.1075,,,,,,,,,,,,,,
,,9/22/2021,2.1925,2.095,2.07625,2.06375,2.06,2.0625,2.05625,2.0625,2.0675,2.07375,2.0975,2.15125,2.17,2.16625,2.0825,,,,,,,,,,,,,,
,,9/21/2021,2.155,2.07,2.065,2.065,2.065,2.06625,2.06,2.0625,2.06625,2.07375,2.0975,2.15125,2.17125,2.1675,2.0825,,,,,,,,,,,,,,
,,9/20/2021,2.14875,2.0525,2.05375,2.05625,2.055,2.05625,2.05375,2.0525,2.055,2.06125,2.085,2.1375,2.155,2.15125,2.06625,,,,,,,,,,,,,,
,,9/17/2021,2.20625,2.10375,2.1025,2.1025,2.1,2.1,2.095,2.09375,2.09375,2.09875,2.11875,2.17,2.18625,2.1825,2.09625,,,,,,,,,,,,,,
,,9/16/2021,2.215,2.1125,2.10625,2.1,2.09375,2.0925,2.0875,2.08625,2.08625,2.09125,2.11,2.16,2.175,2.17,2.0825,,,,,,,,,,,,,,
,,9/15/2021,2.23125,2.13625,2.1275,2.11875,2.1075,2.10625,2.10125,2.09625,2.09,2.0925,2.11125,2.16125,2.17625,2.17,2.07875,,,,,,,,,,,,,,
,,9/14/2021,2.1825,2.09,2.0875,2.0825,2.0775,2.0825,2.0825,2.0825,2.08125,2.085,2.10625,2.16,2.175,2.16625,2.075,,,,,,,,,,,,,,
,,9/13/2021,2.20375,2.12,2.1225,2.12875,2.125,2.1275,2.12875,2.12875,2.1275,2.13125,2.15,2.20125,2.2125,2.20375,2.1125,,,,,,,,,,,,,,
,,9/10/2021,2.13875,2.06375,2.0725,2.085,2.085,2.09125,2.09625,2.09875,2.1,2.105,2.12625,2.17875,2.19625,2.19125,2.10375,,,,,,,,,,,,,,
,,9/9/2021,2.065,1.995,2.01875,2.04125,2.05,2.05625,2.06375,2.06875,2.07375,2.08125,2.105,2.16,2.1775,2.17625,2.09125,,,,,,,,,,,,,,
,,9/8/2021,2.02875,1.9575,1.99,2.02,2.02875,2.0375,2.045,2.0525,2.0575,2.065,2.09,2.1425,2.1625,2.1625,2.08,,,,,,,,,,,,,,
,,9/7/2021,1.9875,1.92,1.95125,1.9925,2.00875,2.01875,2.02875,2.0375,2.045,2.05375,2.08125,2.135,2.1575,2.1575,2.075,,,,,,,,,,,,,,
,,9/6/2021,1.9825,1.9125,1.94625,1.98875,2.0025,2.0125,2.02375,2.03375,2.0425,2.0525,2.07875,2.13125,2.15625,2.15875,2.075,,,,,,,,,,,,,,
,,9/3/2021,1.9125,1.8425,1.8775,1.9225,1.9375,1.94875,1.96375,1.975,1.985,1.99625,2.0275,2.0875,2.11875,2.12375,2.0425,,,,,,,,,,,,,,
,,9/2/2021,1.84875,1.7825,1.82375,1.8725,1.88875,1.9075,1.9275,1.94,1.95125,1.96375,2.00125,2.06625,2.1,2.10625,2.0275,,,,,,,,,,,,,,
,,9/1/2021,1.79125,1.74625,1.79375,1.84,1.86,1.88125,1.90375,1.9175,1.9325,1.94375,1.9875,2.055,2.0925,2.10125,2.02375,,,,,,,,,,,,,,
