reference_identifier,rate_dt,ccy,mid,country,bond_ext_name,issue_dt,first_coupon_date,mature_dt,isin,issuer_name,coupon_frq,coupon,tot_issue,cfi_code,issue_rating,bond_duration,issue,remain_duration,y_bid1,y_offer1,y_bid2,y_offer2,y_bid3,y_offer3,y_bid4,y_offer4,y_bid5,y_offer5,y_bid6,y_offer6,y_bid7,y_offer7,y_bid8,y_offer8,y_bid9,y_offer9,y_bid10,y_offer10,y_bid15,y_offer15,y_bid20,y_offer20,y_bid30,y_offer30,time,ytm,estimated_bondprice,term_spread,bid_offer_spread_1,bid_offer_spread_2,bid_offer_spread_3,bid_offer_spread_4,bid_offer_spread_5,bid_offer_spread_6,bid_offer_spread_7,bid_offer_spread_8,bid_offer_spread_9,bid_offer_spread_10,bid_offer_spread_15,bid_offer_spread_20,bid_offer_spread_30,1 YEAR,10 YEARS,15 YEARS,2 YEARS,20 YEARS,25 YEARS,3 YEARS,30 YEARS,4 YEARS,5 YEARS,6 YEARS,7 YEARS,8 YEARS,9 YEARS
NL0011220108,2016-06-15,EUR,101.118,Netherlands,NEDERLAND 0.25% 15-2025,2015-03-26,2015-07-15,2025-07-15,NL0011220108,STAAT DER NEDERLANDEN,ANNUAL,0.25,6705.159,DBFXXN,AAA,3764,NL0011220108 Netherlands 0.25% 15-2025,3317,,,-0.5366,-0.5096,-0.5264,-0.5078,-0.4765,-0.4683,-0.3599,-0.3523,-0.2325,-0.2273,-0.1176,-0.112,-0.0041,0.0033,0.1198,0.1253,0.24,0.244,,,0.4654,0.4766,0.6733,0.6843,3652,0.242,100.07182185023375,1.1534,,-1.0462,-1.0342,-0.9448,-0.7121999999999999,-0.4598,-0.2296,-0.0008000000000000004,0.24509999999999998,0.484,,0.942,1.3576000000000001,0.9975,1.4375,1.5975,0.865,1.75,1.9125,0.8475,1.98,0.8775,0.935,1.0025,1.11,1.2225,1.3325
NL0011220108,2016-06-16,EUR,101.115,Netherlands,NEDERLAND 0.25% 15-2025,2015-03-26,2015-07-15,2025-07-15,NL0011220108,STAAT DER NEDERLANDEN,ANNUAL,0.25,6705.159,DBFXXN,AAA,3764,NL0011220108 Netherlands 0.25% 15-2025,3316,,,-0.5265,-0.4994,-0.514,-0.5024,-0.4743,-0.4607,-0.342,-0.3367,-0.2216,-0.2162,-0.1145,-0.1027,0.0003,0.007,0.1176,0.1257,0.237,0.246,,,0.4345,0.4442,0.6389,0.6451,3652,0.2415,100.07628987413847,1.1362,,-1.0259,-1.0164,-0.935,-0.6787000000000001,-0.43779999999999997,-0.2172,0.0073,0.24330000000000002,0.483,,0.8787,1.284,0.9425,1.4175,1.57,0.8275,1.7175,1.88,0.8125,1.95,0.845,0.905,0.9775,1.09,1.2025,1.3125
NL0011220108,2016-06-17,EUR,100.776,Netherlands,NEDERLAND 0.25% 15-2025,2015-03-26,2015-07-15,2025-07-15,NL0011220108,STAAT DER NEDERLANDEN,ANNUAL,0.25,6705.159,DBFXXN,AAA,3764,NL0011220108 Netherlands 0.25% 15-2025,3315,,,-0.5251,-0.4926,-0.5184,-0.5042,-0.48,-0.4681,-0.3455,-0.3363,-0.2201,-0.2096,-0.1112,-0.1008,0.0206,0.0294,0.1489,0.1573,0.274,0.278,,,0.5095,0.518,0.7107,0.7211,3652,0.276,99.76711526768679,1.1844000000000001,,-1.0177,-1.0226,-0.9480999999999999,-0.6818,-0.42969999999999997,-0.212,0.05,0.3062,0.552,,1.0274999999999999,1.4318,0.975,1.4275,1.5825,0.8525,1.7275,1.8925,0.835,1.965,0.8625,0.9125,0.9875,1.1025,1.215,1.3225
NL0011220108,2016-06-20,EUR,100.83,Netherlands,NEDERLAND 0.25% 15-2025,2015-03-26,2015-07-15,2025-07-15,NL0011220108,STAAT DER NEDERLANDEN,ANNUAL,0.25,6705.159,DBFXXN,AAA,3764,NL0011220108 Netherlands 0.25% 15-2025,3312,,,-0.5216,-0.4999,-0.515,-0.5008,-0.4953,-0.4768,-0.3455,-0.3365,-0.2371,-0.2273,-0.1263,-0.1158,0.0093,0.0166,0.1605,0.1671,0.288,0.297,,,0.5663,0.5739,0.7752,0.7816,3652,0.2925,99.61997711716836,1.20805,,-1.0215,-1.0158,-0.9721,-0.6819999999999999,-0.46440000000000003,-0.24209999999999998,0.0259,0.3276,0.585,,1.1402,1.5568,1.0025,1.4525,1.6075,0.8825,1.7575,1.915,0.86,1.985,0.885,0.9375,1.0125,1.1225,1.24,1.35
NL0011220108,2016-06-21,EUR,100.811,Netherlands,NEDERLAND 0.25% 15-2025,2015-03-26,2015-07-15,2025-07-15,NL0011220108,STAAT DER NEDERLANDEN,ANNUAL,0.25,6705.159,DBFXXN,AAA,3764,NL0011220108 Netherlands 0.25% 15-2025,3311,,,-0.5311,-0.5104,-0.5382,-0.5232,-0.5114,-0.5005,-0.3719,-0.3614,-0.2575,-0.2477,-0.1401,-0.1309,-0.0012,0.0061,0.1521,0.1605,0.288,0.292,,,0.5561,0.5644,0.7655,0.7719,3652,0.29,99.64239326171985,1.2203,,-1.0415,-1.0614,-1.0118999999999998,-0.7333000000000001,-0.5052,-0.271,0.004900000000000001,0.3126,0.58,,1.1205,1.5373999999999999,1.0,1.455,1.6125,0.88,1.76,1.92,0.86,1.99,0.89,0.94,1.0175,1.13,1.2425,1.355
NL0011220108,2016-06-22,EUR,100.802,Netherlands,NEDERLAND 0.25% 15-2025,2015-03-26,2015-07-15,2025-07-15,NL0011220108,STAAT DER NEDERLANDEN,ANNUAL,0.25,6705.159,DBFXXN,AAA,3764,NL0011220108 Netherlands 0.25% 15-2025,3310,,,-0.5281,-0.5172,-0.5281,-0.5093,-0.4896,-0.4798,-0.3561,-0.349,-0.25,-0.2402,-0.1283,-0.1218,0.0049,0.012,0.1579,0.1634,0.289,0.293,,,0.566,0.5759,0.7751,0.7857,3652,0.291,99.63358067355651,1.2222,,-1.0453000000000001,-1.0373999999999999,-0.9694,-0.7051000000000001,-0.49019999999999997,-0.2501,0.0169,0.32130000000000003,0.582,,1.1419,1.5608,1.0025,1.46,1.6125,0.885,1.765,1.9225,0.8625,1.9925,0.89,0.9425,1.0175,1.13,1.2475,1.3575
NL0011220108,2016-06-23,EUR,100.733,Netherlands,NEDERLAND 0.25% 15-2025,2015-03-26,2015-07-15,2025-07-15,NL0011220108,STAAT DER NEDERLANDEN,ANNUAL,0.25,6705.159,DBFXXN,AAA,3764,NL0011220108 Netherlands 0.25% 15-2025,3309,,,-0.5261,-0.5086,-0.5254,-0.5066,-0.4897,-0.4793,-0.3484,-0.3413,-0.2456,-0.2358,-0.1243,-0.1112,0.0109,0.0182,0.1572,0.1641,0.293,0.297,,,0.5913,0.6035,0.8084,0.8187,3652,0.295,99.59803273039265,1.2219,,-1.0347,-1.032,-0.9690000000000001,-0.6897,-0.48140000000000005,-0.2355,0.0291,0.32130000000000003,0.59,,1.1948,1.6271,1.025,1.4875,1.6425,0.9075,1.7925,1.95,0.8875,2.0225,0.9125,0.965,1.0425,1.1575,1.2725,1.3875
NL0011220108,2016-06-24,EUR,101.487,Netherlands,NEDERLAND 0.25% 15-2025,2015-03-26,2015-07-15,2025-07-15,NL0011220108,STAAT DER NEDERLANDEN,ANNUAL,0.25,6705.159,DBFXXN,AAA,3764,NL0011220108 Netherlands 0.25% 15-2025,3308,,,-0.6036,-0.5828,-0.5983,-0.584,-0.5605,-0.5483,-0.4323,-0.4173,-0.3252,-0.3162,-0.2061,-0.1964,-0.0823,-0.074,0.0701,0.0767,0.194,0.204,,,0.4335,0.4447,0.6221,0.633,3652,0.199,100.45761945186412,1.191,,-1.1864,-1.1823000000000001,-1.1088,-0.8496,-0.6414,-0.40249999999999997,-0.1563,0.14679999999999999,0.398,,0.8782,1.2551,0.9275,1.3775,1.5425,0.8075,1.7025,1.8675,0.785,1.945,0.8075,0.86,0.935,1.05,1.165,1.2775
NL0011220108,2016-06-27,EUR,101.851,Netherlands,NEDERLAND 0.25% 15-2025,2015-03-26,2015-07-15,2025-07-15,NL0011220108,STAAT DER NEDERLANDEN,ANNUAL,0.25,6705.159,DBFXXN,AAA,3764,NL0011220108 Netherlands 0.25% 15-2025,3305,,,-0.5996,-0.5826,-0.584,-0.5697,-0.5497,-0.5376,-0.4267,-0.4126,-0.3426,-0.3321,-0.2213,-0.2148,-0.1118,-0.1062,0.0277,0.0358,0.15,0.154,,,0.3463,0.3547,0.5254,0.5314,3652,0.152,100.88062670610677,1.1179000000000001,,-1.1822,-1.1537,-1.0873,-0.8393,-0.6747000000000001,-0.4361,-0.218,0.0635,0.304,,0.7010000000000001,1.0568,0.8725,1.3225,1.4875,0.755,1.645,1.815,0.7275,1.8925,0.755,0.805,0.8725,0.995,1.11,1.22
NL0011220108,2016-06-28,EUR,102.153,Netherlands,NEDERLAND 0.25% 15-2025,2015-03-26,2015-07-15,2025-07-15,NL0011220108,STAAT DER NEDERLANDEN,ANNUAL,0.25,6705.159,DBFXXN,AAA,3764,NL0011220108 Netherlands 0.25% 15-2025,3304,,,-0.601,-0.5895,-0.5965,-0.5814,-0.5612,-0.5492,-0.4586,-0.4498,-0.3771,-0.3696,-0.2517,-0.2452,-0.1391,-0.1331,0.0018,0.01,0.124,0.128,,,0.3649,0.3748,0.5551,0.5671,3652,0.126,101.11537938973596,1.08375,,-1.1905000000000001,-1.1779000000000002,-1.1104,-0.9084,-0.7466999999999999,-0.4969,-0.2722,0.0118,0.252,,0.7397,1.1222,0.92,1.35,1.51,0.8025,1.67,1.8375,0.765,1.9175,0.7775,0.83,0.8975,1.02,1.135,1.245
